ID,Data,Produto,Categoria,Quantidade,Preço
1,2023-04-17,Produto E,Categoria 1,35,436.98
2,2023-01-06,Produto E,Categoria 2,17,48.19
3,2023-09-24,Produto E,Categoria 4,10,28.3
4,2023-01-19,Produto C,Categoria 2,6,304.11
5,2023-03-22,Produto C,Categoria 1,36,376.81
6,2023-05-03,Produto D,Categoria 1,49,321.68
7,2023-01-09,Produto B,Categoria 1,21,41.76
8,2023-01-29,Produto E,Categoria 1,35,466.37
9,2023-12-15,Produto E,Categoria 4,38,462.38
10,2023-03-17,Produto A,Categoria 4,9,452.79
11,2023-12-22,Produto E,Categoria 3,35,355.61
12,2023-07-08,Produto D,Categoria 2,14,13.28
13,2023-05-03,Produto E,Categoria 2,24,226.98
14,2023-03-01,Produto B,Categoria 3,47,101.67
15,2023-06-23,Produto C,Categoria 1,7,122.26
17,2023-12-29,Produto E,Categoria 1,11,428.77
18,2023-07-02,Produto E,Categoria 3,5,325.37
19,2023-05-24,Produto D,Categoria 3,4,489.55
20,2023-07-20,Produto A,Categoria 1,34,182.63
21,2023-05-15,Produto C,Categoria 4,37,55.17
22,2023-06-26,Produto C,Categoria 1,11,402.05
23,2023-04-28,Produto B,Categoria 2,16,441.88
24,2023-04-16,Produto C,Categoria 1,18,257.62
25,2023-07-01,Produto C,Categoria 4,49,123.98
26,2023-06-10,Produto B,Categoria 4,38,323.49
27,2023-04-25,Produto A,Categoria 2,34,134.76
28,2023-06-06,Produto D,Categoria 2,12,205.86
29,2023-09-19,Produto E,Categoria 2,37,299.26
30,2023-08-04,Produto B,Categoria 4,42,364.57
32,2023-10-23,Produto A,Categoria 2,13,58.6
33,2023-08-22,Produto C,Categoria 4,21,205.91
34,2023-08-03,Produto B,Categoria 3,11,260.43
35,2023-09-08,Produto A,Categoria 4,33,162.13
36,2023-02-10,Produto D,Categoria 1,49,42.9
37,2023-08-25,Produto E,Categoria 1,4,137.81
38,2023-10-17,Produto B,Categoria 2,42,224.16
39,2023-07-04,Produto B,Categoria 4,4,319.77
40,2023-08-13,Produto C,Categoria 3,27,490.11
41,2023-10-19,Produto B,Categoria 3,8,109.89
42,2023-06-11,Produto E,Categoria 1,12,288.27
43,2023-12-22,Produto A,Categoria 3,25,112.75
44,2023-11-27,Produto C,Categoria 2,36,74.58
45,2023-08-19,Produto D,Categoria 1,38,148.38
47,2023-02-03,Produto D,Categoria 3,39,424.75
48,2023-09-09,Produto B,Categoria 4,32,162.75
49,2023-01-10,Produto C,Categoria 2,5,474.49
50,2023-04-11,Produto E,Categoria 4,46,393.12
51,2023-03-13,Produto B,Categoria 3,38,206.27
52,2023-10-01,Produto E,Categoria 1,30,440.1
53,2023-03-30,Produto B,Categoria 4,16,143.75
54,2023-11-11,Produto D,Categoria 2,46,18.08
55,2023-12-20,Produto D,Categoria 1,31,234.55
56,2023-01-09,Produto D,Categoria 4,21,314.6
57,2023-05-27,Produto D,Categoria 3,15,346.45
58,2023-09-29,Produto E,Categoria 2,15,17.55
59,2023-09-11,Produto B,Categoria 2,25,16.74
60,2023-03-19,Produto D,Categoria 2,9,345.38
61,2023-02-21,Produto A,Categoria 1,20,462.43
62,2023-03-01,Produto D,Categoria 1,17,250.51
63,2023-07-22,Produto C,Categoria 3,37,385.9
64,2023-01-25,Produto D,Categoria 3,8,96.02
65,2023-02-07,Produto B,Categoria 2,20,80.3
66,2023-08-28,Produto A,Categoria 2,18,238.04
67,2023-10-12,Produto D,Categoria 2,40,481.02
68,2023-06-01,Produto C,Categoria 3,35,66.86
69,2023-07-25,Produto D,Categoria 4,45,270.88
71,2023-04-29,Produto A,Categoria 4,50,21.27
72,2023-04-02,Produto E,Categoria 2,32,405.7
73,2023-10-06,Produto A,Categoria 1,24,105.03
74,2023-09-14,Produto E,Categoria 2,32,416.74
75,2023-07-01,Produto D,Categoria 1,23,304.18
76,2023-02-10,Produto D,Categoria 3,28,35.36
77,2023-05-01,Produto A,Categoria 4,35,113.4
78,2023-06-08,Produto C,Categoria 1,31,217.97
79,2023-06-09,Produto D,Categoria 4,39,37.56
80,2023-03-26,Produto D,Categoria 3,30,371.47
81,2023-11-17,Produto E,Categoria 2,32,217.83
82,2023-06-12,Produto C,Categoria 3,43,73.93
83,2023-07-18,Produto D,Categoria 1,29,116.2
84,2023-09-01,Produto D,Categoria 4,13,344.43
85,2023-06-22,Produto D,Categoria 1,50,221.74
86,2023-08-15,Produto D,Categoria 4,14,267.38
